"","week","price","cartel","quantity","seas1","seas2","seas3","seas4","seas5","seas6","seas7","seas8","seas9","seas10","seas11","seas12","ice"
"252",252,0.25,"Cartel",23876,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"253",253,0.25,"Cartel",31600,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"254",254,0.25,"Competition",31419,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"255",255,0.25,"Cartel",27814,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"256",256,0.25,"Cartel",32530,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"257",257,0.25,"Cartel",33624,"0","0","0","0","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"258",258,0.25,"Cartel",34718,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"259",259,0.25,"Cartel",35812,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"260",260,0.25,"Cartel",26844,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"261",261,0.25,"Cartel",16938,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"262",262,0.200000002980232,"Cartel",19362,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"263",263,0.200000002980232,"Competition",29761,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"264",264,0.200000002980232,"Competition",43777,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"265",265,0.200000002980232,"Competition",32995,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"266",266,0.200000002980232,"Cartel",50340,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"267",267,0.25,"Cartel",52131,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"268",268,0.25,"Cartel",30913,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"269",269,0.25,"Cartel",22887,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"270",270,0.25,"Cartel",30911,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"271",271,0.25,"Competition",36354,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"272",272,0.200000002980232,"Competition",38989,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"273",273,0.200000002980232,"Competition",47087,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"274",274,0.200000002980232,"Competition",44805,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"275",275,0.200000002980232,"Competition",46694,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"276",276,0.200000002980232,"Competition",54188,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"277",277,0.200000002980232,"Competition",40650,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"278",278,0.200000002980232,"Competition",34674,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"279",279,0.200000002980232,"Competition",27430,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"280",280,0.150000005960464,"Competition",53360,"0","0","0","0","1","0","0","0","0","0","0","0","Ice"
"281",281,0.150000005960464,"Competition",43018,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"282",282,0.150000005960464,"Competition",33691,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"283",283,0.150000005960464,"Competition",27424,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"284",284,0.150000005960464,"Competition",30120,"0","0","0","0","0","1","0","0","0","0","0","0","Clear Shipping Lanes"
"285",285,0.150000005960464,"Competition",30488,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"286",286,0.150000005960464,"Competition",31223,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"287",287,0.150000005960464,"Competition",21562,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"288",288,0.150000005960464,"Competition",24892,"0","0","0","0","0","0","1","0","0","0","0","0","Clear Shipping Lanes"
"289",289,0.150000005960464,"Competition",20864,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"290",290,0.150000005960464,"Competition",19128,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"291",291,0.200000002980232,"Competition",9778,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"292",292,0.200000002980232,"Competition",7528,"0","0","0","0","0","0","0","1","0","0","0","0","Clear Shipping Lanes"
"293",293,0.200000002980232,"Competition",15773,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"294",294,0.150000005960464,"Competition",10737,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"295",295,0.150000005960464,"Competition",20881,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"296",296,0.150000005960464,"Competition",20970,"0","0","0","0","0","0","0","0","1","0","0","0","Clear Shipping Lanes"
"297",297,0.150000005960464,"Competition",22835,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"298",298,0.150000005960464,"Competition",30986,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"299",299,0.150000005960464,"Competition",35308,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"300",300,0.150000005960464,"Competition",40034,"0","0","0","0","0","0","0","0","0","1","0","0","Clear Shipping Lanes"
"301",301,0.150000005960464,"Competition",44776,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"302",302,0.200000002980232,"Competition",36288,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"303",303,0.200000002980232,"Competition",27158,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"304",304,0.200000002980232,"Competition",14622,"0","0","0","0","0","0","0","0","0","0","1","0","Clear Shipping Lanes"
"305",305,0.200000002980232,"Competition",15259,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"306",306,0.200000002980232,"Competition",14680,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"307",307,0.200000002980232,"Competition",15114,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"308",308,0.200000002980232,"Cartel",17686,"0","0","0","0","0","0","0","0","0","0","0","1","Clear Shipping Lanes"
"309",309,0.200000002980232,"Cartel",36336,"0","0","0","0","0","0","0","0","0","0","0","0","Clear Shipping Lanes"
"310",310,0.200000002980232,"Cartel",22569,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"311",311,0.200000002980232,"Cartel",23342,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"312",312,0.200000002980232,"Cartel",21269,"0","0","0","0","0","0","0","0","0","0","0","0","Ice"
"313",313,0.200000002980232,"Cartel",18340,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"314",314,0.25,"Cartel",19440,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"315",315,0.25,"Competition",17056,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"316",316,0.25,"Competition",10713,"1","0","0","0","0","0","0","0","0","0","0","0","Ice"
"317",317,0.25,"Competition",12836,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"318",318,0.25,"Competition",12344,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"319",319,0.25,"Competition",17868,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"320",320,0.25,"Competition",22789,"0","1","0","0","0","0","0","0","0","0","0","0","Ice"
"321",321,0.25,"Competition",34851,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"322",322,0.25,"Competition",29997,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"323",323,0.25,"Competition",34010,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"324",324,0.25,"Cartel",19686,"0","0","1","0","0","0","0","0","0","0","0","0","Ice"
"325",325,0.25,"Cartel",14757,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"326",326,0.25,"Cartel",16502,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"327",327,0.25,"Cartel",11490,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
"328",328,0.25,"Cartel",7843,"0","0","0","1","0","0","0","0","0","0","0","0","Ice"
